color_name,rus_name,hex,r,g,b,hue,sat,val,id
Beauty Bush,Красавица Буш,#EEC1BE,238,193,190,3.749999999999986,0.201680672268908,0.933333333333333,97
Brown Coffee,Коричневый кофе,#4A2C2A,74,44,42,3.75,0.432432432432433,0.290196078431373,98
CG red,CG красный,#E03C31,224,60,49,3.7714285714285767,0.78125,0.87843137254902,99
Red Oxide,Красный оксид,#6E0902,110,9,2,3.888888888888893,0.981818181818182,0.431372549019608,100
Barn red,Амбарный красный,#7C0A02,124,10,2,3.9344262295081935,0.983870967741935,0.486274509803922,101
International orange (Golden Gate Bridge),Международный оранжевый (мост Золотые Ворота),#C0362C,192,54,44,4.054054054054053,0.770833333333333,0.752941176470588,102
Lychee,Личи,#DC5349,220,83,73,4.081632653061223,0.668181818181818,0.862745098039216,103
Mordant red 19,Морилка красная 19,#AE0C00,174,12,0,4.137931034482761,1,0.682352941176471,104
Milano Red,Милано Ред,#B81104,184,17,4,4.333333333333325,0.978260869565217,0.72156862745098,105
Contessa,Графиня,#C6726B,198,114,107,4.6153846153846185,0.45959595959596,0.776470588235294,106
Google Chrome red,Google Chrome красный,#DE5246,222,82,70,4.736842105263152,0.684684684684685,0.870588235294118,107
Petite Orchid,Маленькая орхидея,#DB9690,219,150,144,4.800000000000004,0.342465753424658,0.858823529411765,108
Valencia,Валенсия,#D84437,216,68,55,4.844720496894412,0.74537037037037,0.847058823529412,109
Hurricane,Ураган,#877C7B,135,124,123,4.999999999999982,0.0888888888888888,0.529411764705882,110
Chablis,Шабли,#FFF4F3,255,244,243,5.000000000000116,0.0470588235294118,1,111
Burgundy,Бургундия,#770F05,119,15,5,5.263157894736845,0.957983193277311,0.466666666666667,112
Copper penny,Медный пенни,#AD6F69,173,111,105,5.294117647058831,0.393063583815029,0.67843137254902,113
Red (RYB),Красный (RYB),#FE2712,254,39,18,5.338983050847457,0.929133858267717,0.996078431372549,114
Dorado,Дорадо,#6B5755,107,87,85,5.454545454545469,0.205607476635514,0.419607843137255,115
Apple Blossom,Цветение яблони,#AF4D43,175,77,67,5.555555555555554,0.617142857142857,0.686274509803922,116
Old burgundy,Старый бордовый,#43302E,67,48,46,5.7142857142857135,0.313432835820895,0.262745098039216,117
Ogre Odor,Запах Огра,#FD5240,253,82,64,5.7142857142857135,0.74703557312253,0.992156862745098,118
Redwood,Редвуд,#A45A52,164,90,82,5.853658536585364,0.5,0.643137254901961,119
Matrix,Матрица,#B05D54,176,93,84,5.869565217391304,0.522727272727273,0.690196078431373,120
Coral reef,коралловый риф,#FD7C6E,253,124,110,5.874125874125875,0.565217391304348,0.992156862745098,121
Tomato sauce,томатный соус,#B21807,178,24,7,5.964912280701751,0.960674157303371,0.698039215686274,122
Rose White,Роза белая,#FFF6F5,255,246,245,5.999999999999985,0.0392156862745097,1,123
Licorice,Лакрица,#1A1110,26,17,16,5.999999999999998,0.384615384615385,0.101960784313725,124
Moccaccino,Моккачино,#6E1D14,110,29,20,5.999999999999998,0.818181818181818,0.431372549019608,125
Russett,Рассетт,#755A57,117,90,87,6.000000000000005,0.256410256410256,0.458823529411765,126
Misty rose,Туманная роза,#FFE4E1,255,228,225,6.000000000000032,0.117647058823529,1,127
Salmon,Лосось,#FA8072,250,128,114,6.1764705882352855,0.544,0.980392156862745,128
Bittersweet,Горько-сладкий,#FE6F5E,254,111,94,6.374999999999997,0.62992125984252,0.996078431372549,129
Giant's Club,Клуб гигантов,#B05C52,176,92,82,6.382978723404251,0.534090909090909,0.690196078431373,130
Brandy Rose,Бренди Роуз,#BB8983,187,137,131,6.42857142857144,0.299465240641711,0.733333333333333,131
Fire opal,Огненный опал,#E95C4B,233,92,75,6.455696202531646,0.678111587982833,0.913725490196078,132
Melancholy,Меланхолия,#FDBCB4,253,188,180,6.575342465753424,0.288537549407115,0.992156862745098,133
Wenge,Венге,#645452,100,84,82,6.666666666666643,0.18,0.392156862745098,134
Roof Terracotta,Крыша Терракота,#A62F20,166,47,32,6.716417910447761,0.807228915662651,0.650980392156863,135
Thunderbird,Тандербёрд,#C02B18,192,43,24,6.785714285714295,0.875,0.752941176470588,136
Shilo,Шило,#E8B9B3,232,185,179,6.792452830188684,0.228448275862069,0.909803921568627,137
My Pink,Мой розовый,#D69188,214,145,136,6.923076923076918,0.364485981308411,0.83921568627451,138
Mojo,Моджо,#C04737,192,71,55,7.00729927007299,0.713541666666667,0.752941176470588,139
Electric brown,Электрический коричневый,#B56257,181,98,87,7.0212765957446805,0.519337016574586,0.709803921568627,140
Martini,мартини,#AFA09E,175,160,158,7.05882352941174,0.0971428571428571,0.686274509803922,141
El Salva,Эль Сальва,#8F3E33,143,62,51,7.173913043478266,0.643356643356643,0.56078431372549,142
Salmon Rose,Лососевая роза,#E7968B,231,150,139,7.173913043478272,0.398268398268398,0.905882352941176,143
Eunry,Юнри,#CFA39D,207,163,157,7.199999999999973,0.241545893719807,0.811764705882353,144
Mona Lisa,Мона Лиза,#FFA194,255,161,148,7.289719626168211,0.419607843137255,1,145
Caput mortuum,Caput mortuum,#592720,89,39,32,7.368421052631582,0.640449438202247,0.349019607843137,146
Swiss Coffee,Швейцарский кофе,#DDD6D5,221,214,213,7.499999999999973,0.0361990950226244,0.866666666666667,147
Pharlap,Фарлап,#A3807B,163,128,123,7.5,0.245398773006135,0.63921568627451,148
Rufous,Рыжий,#A81C07,168,28,7,7.826086956521734,0.958333333333333,0.658823529411765,149
Cedar Chest,Кедровый сундук,#C95A49,201,90,73,7.968750000000007,0.63681592039801,0.788235294117647,150
Burnished brown,Коричневый полированный,#A17A74,161,122,116,8.00000000000001,0.279503105590062,0.631372549019608,151
Jelly bean,Жевательные конфеты,#DA614E,218,97,78,8.14285714285714,0.642201834862385,0.854901960784314,152
Vermilion,Вермилион,#D9381E,217,56,30,8.342245989304812,0.861751152073733,0.850980392156863,153
Persimmon,Хурма,#FF6B53,255,107,83,8.372093023255822,0.674509803921569,1,154
Crail,Крейл,#B95140,185,81,64,8.429752066115702,0.654054054054054,0.725490196078431,155
Scarlet,Скарлет,#FF2400,255,36,0,8.470588235294114,1,1,156
Chardon,Шардон,#FFF3F1,255,243,241,8.571428571428534,0.0549019607843137,1,157
Hemp,Конопля,#907874,144,120,116,8.571428571428575,0.194444444444444,0.564705882352941,158
Metallic Copper,Металлическая медь,#71291D,113,41,29,8.571428571428575,0.743362831858407,0.443137254901961,159
Burnt umber,Жженая умбра,#8A3324,138,51,36,8.823529411764708,0.739130434782609,0.541176470588235,160
Cinderella,Золушка,#FDE1DC,253,225,220,9.090909090909063,0.130434782608696,0.992156862745098,161
Tomato,Помидор,#FF6347,255,99,71,9.13043478260869,0.72156862745098,1,162
Dark pastel red,Тёмно-пастельно-красный,#C23B22,194,59,34,9.375000000000009,0.824742268041237,0.76078431372549,163
Rose,Роза,#E7BCB4,231,188,180,9.411764705882351,0.220779220779221,0.905882352941176,164
Ferrari red,Феррари красный,#FF2800,255,40,0,9.411764705882351,1,1,165
Fair Pink,Ярко-розовый,#FFEFEC,255,239,236,9.473684210526285,0.0745098039215685,1,166
Orange soda,Апельсиновая газировка,#FA5B3D,250,91,61,9.523809523809517,0.756,0.980392156862745,167
Dark chestnut,Темно-каштановый,#986960,152,105,96,9.642857142857142,0.368421052631579,0.596078431372549,168
Orange soda,Апельсиновая газировка,#EB593D,235,89,61,9.655172413793098,0.740425531914894,0.92156862745098,169
Dark coral,Темно-коралловый,#CD5B45,205,91,69,9.70588235294118,0.663414634146342,0.803921568627451,170
Ironstone,Железная руда,#86483C,134,72,60,9.72972972972973,0.552238805970149,0.525490196078431,171
Coral Reef (Valspar Paint Color),Коралловый риф (цвет краски Valspar),#F6A494,246,164,148,9.795918367346935,0.398373983739837,0.964705882352941,172
Chestnut,каштан,#954535,149,69,53,9.999999999999991,0.644295302013423,0.584313725490196,173
Thatch,Солома,#B69D98,182,157,152,10.000000000000018,0.164835164835165,0.713725490196078,174
Sauvignon,Совиньон,#FFF5F3,255,245,243,10.00000000000009,0.0470588235294118,1,175
Terra cotta,Терракота,#E2725B,226,114,91,10.222222222222218,0.597345132743363,0.886274509803922,176
Rose Bud,Бутон розы,#FBB2A3,251,178,163,10.227272727272732,0.350597609561753,0.984313725490196,177
Forget Me Not,Не забывай меня,#FFF1EE,255,241,238,10.58823529411761,0.0666666666666666,1,178
Chinese brown,китайский коричневый,#AB381F,171,56,31,10.714285714285715,0.818713450292398,0.670588235294118,179
Portland Orange,Портленд Апельсин,#FF5A36,255,90,54,10.746268656716422,0.788235294117647,1,180
Van Cleef,Ван Клиф,#49170C,73,23,12,10.819672131147549,0.835616438356164,0.286274509803921,181
Del Rio,Дель Рио,#B09A95,176,154,149,11.111111111111072,0.153409090909091,0.690196078431373,182
Chinese red,китайский красный,#AA381E,170,56,30,11.142857142857142,0.823529411764706,0.666666666666667,183
Night Rider,Ночной Всадник,#1F120F,31,18,15,11.25,0.516129032258065,0.12156862745098,184
French puce,французский пус,#4E1609,78,22,9,11.30434782608696,0.884615384615385,0.305882352941176,185
Poppy Petal,Лепесток мака,#F6A08C,246,160,140,11.320754716981122,0.430894308943089,0.964705882352941,186
Clam Shell,Ракушка моллюска,#D4B6AF,212,182,175,11.351351351351354,0.174528301886792,0.831372549019608,187
Cedar,Кедр,#3E1C14,62,28,20,11.428571428571429,0.67741935483871,0.243137254901961,188
Quicksand,Зыбучие пески,#BD978E,189,151,142,11.489361702127656,0.248677248677249,0.741176470588235,189
Rock,Камень,#4D3833,77,56,51,11.53846153846153,0.337662337662338,0.301960784313725,190
Eclipse,Затмение,#311C17,49,28,23,11.538461538461537,0.530612244897959,0.192156862745098,191
Liver (organ),Печень (орган),#6C2E1F,108,46,31,11.688311688311686,0.712962962962963,0.423529411764706,192
Vivid tangerine,Яркий мандариновый,#FFA089,255,160,137,11.69491525423729,0.462745098039216,1,193
Prairie Sand,Прерийный песок,#9A3820,154,56,32,11.80327868852459,0.792207792207792,0.603921568627451,194
Electric orange,Электрический оранжевый,#FF3503,255,53,3,11.904761904761909,0.988235294117647,1,195
Outrageous Orange,Возмутительный оранжевый,#FF6E4A,255,110,74,11.93370165745856,0.709803921568627,1,196
Vista White,Виста Уайт,#FCF8F7,252,248,247,11.99999999999993,0.0198412698412698,0.988235294117647,197
Blast-off bronze,Бронзовый старт,#A57164,165,113,100,11.999999999999996,0.393939393939394,0.647058823529412,198
Bizarre,Странный,#EEDEDA,238,222,218,12.00000000000003,0.0840336134453782,0.933333333333333,199
Deep dumpling,Глубокие пельмени,#9B351B,155,53,27,12.187500000000009,0.825806451612903,0.607843137254902,200
Cinereous,Чёрный,#98817B,152,129,123,12.41379310344826,0.190789473684211,0.596078431372549,201
Royal brown,Королевский коричневый,#523B35,82,59,53,12.413793103448274,0.353658536585366,0.32156862745098,202
Dark liver (horses),Темная печень (лошади),#543D37,84,61,55,12.41379310344828,0.345238095238095,0.329411764705882,203
Cognac,коньяк,#9F381D,159,56,29,12.461538461538456,0.817610062893082,0.623529411764706,204
Wafer,Вафля,#DECBC6,222,203,198,12.499999999999956,0.108108108108108,0.870588235294118,205
Tonys Pink,Тони Пинк,#E79F8C,231,159,140,12.527472527472522,0.393939393939394,0.905882352941176,206
Mocha,Мокко,#782D19,120,45,25,12.631578947368428,0.791666666666667,0.470588235294118,207
Japonica,Японика,#D87C63,216,124,99,12.82051282051282,0.541666666666667,0.847058823529412,208
Flamingo,Фламинго,#F2552A,242,85,42,12.9,0.826446280991736,0.949019607843137,209
Flame Pea,Горох огненный,#DA5B38,218,91,56,12.962962962962967,0.743119266055046,0.854901960784314,210
Red Robin,Красный Робин,#80341F,128,52,31,12.989690721649486,0.7578125,0.501960784313725,211
Coquelicot,Коклико,#FF3800,255,56,0,13.176470588235295,1,1,212
Bridesmaid,Подружка невесты,#FEF0EC,254,240,236,13.333333333333291,0.0708661417322834,0.996078431372549,213
Rebel,Мятежник,#3C1206,60,18,6,13.333333333333332,0.9,0.235294117647059,214
Microsoft red,Майкрософт красный,#F04E1F,240,78,31,13.49282296650718,0.870833333333333,0.941176470588235,215
Toast,Тост,#9A6E61,154,110,97,13.684210526315798,0.37012987012987,0.603921568627451,216
Pueblo,Пуэбло,#7D2C14,125,44,20,13.714285714285714,0.84,0.490196078431372,217
Copper red,Медно-красный,#CB6D51,203,109,81,13.770491803278691,0.600985221674877,0.796078431372549,218
Cedar Wood Finish,Отделка из кедрового дерева,#711A00,113,26,0,13.80530973451327,1,0.443137254901961,219
Medium vermilion,Средний киноварь,#D9603B,217,96,59,14.050632911392404,0.728110599078341,0.850980392156863,220
Middle red,Средний красный,#E58E73,229,142,115,14.210526315789478,0.497816593886463,0.898039215686275,221
Brown (Crayola),Коричневый (Crayola),#AF593E,175,89,62,14.336283185840704,0.645714285714286,0.686274509803922,222
Spicy Mix,Пряная смесь,#885342,136,83,66,14.571428571428571,0.514705882352941,0.533333333333333,223
Smokey Topaz,Дымчатый топаз,#832A0D,131,42,13,14.745762711864408,0.900763358778626,0.513725490196078,224
Root beer,Корневое пиво,#290E05,41,14,5,14.999999999999996,0.878048780487805,0.16078431372549,225
Dark salmon,Тёмный лосось,#E9967A,233,150,122,15.135135135135132,0.476394849785408,0.913725490196078,226
Peanut,арахис,#782F16,120,47,22,15.30612244897959,0.816666666666667,0.470588235294118,227
Orioles orange,Иволги оранжевые,#FB4F14,251,79,20,15.324675324675324,0.920318725099602,0.984313725490196,228
Mule Fawn,Мул Фавн,#8C472F,140,71,47,15.483870967741934,0.664285714285714,0.549019607843137,229
Taobao Orange,Таобао Оранжевый,#FF4200,255,66,0,15.52941176470588,1,1,230
Nutmeg,Мускатный орех,#81422C,129,66,44,15.529411764705888,0.65891472868217,0.505882352941176,231
Smashed Pumpkin,Раздавленная тыква,#FF6D3A,255,109,58,15.532994923857874,0.772549019607843,1,232
Chinese orange,китайский апельсин,#F37042,243,112,66,15.593220338983054,0.728395061728395,0.952941176470588,233
Pot Pourri,Попурри,#F5E7E2,245,231,226,15.789473684210543,0.0775510204081633,0.96078431372549,234
Mandys Pink,Мэндис Пинк,#F2C3B2,242,195,178,15.9375,0.264462809917355,0.949019607843137,235
Apricot,Абрикос,#EB9373,235,147,115,15.999999999999996,0.51063829787234,0.92156862745098,236
Red Damask,Красный дамаск,#DA6A41,218,106,65,16.078431372549023,0.701834862385321,0.854901960784314,237
Coral,Коралловый,#FF7F50,255,127,80,16.114285714285714,0.686274509803922,1,238
Red-orange (Color wheel),Красно-оранжевый (Цветовой круг),#FF4500,255,69,0,16.235294117647054,1,1,239
Giants orange,Гиганты оранжевые,#FE5A1D,254,90,29,16.26666666666667,0.885826771653543,0.996078431372549,240
Wax Flower,Восковой цветок,#FFC0A8,255,192,168,16.551724137931036,0.341176470588235,1,241
Americano,американо,#87756E,135,117,110,16.799999999999976,0.185185185185185,0.529411764705882,242
Flame,Пламя,#E25822,226,88,34,16.875,0.849557522123894,0.886274509803922,243
Sinopia,Синопия,#CB410B,203,65,11,16.875,0.945812807881774,0.796078431372549,244
Santa Fe,Санта-Фе,#B16D52,177,109,82,17.052631578947363,0.536723163841808,0.694117647058824,245
Dawn Pink,Рассветный розовый,#F3E9E5,243,233,229,17.14285714285711,0.0576131687242797,0.952941176470588,246
Light salmon,Светлый лосось,#FFA07A,255,160,122,17.142857142857135,0.52156862745098,1,247
Xiaomi Orange,Сяоми Апельсин,#FD4900,253,73,0,17.31225296442688,1,0.992156862745098,248
Spicy mix,Острая смесь,#8B5F4D,139,95,77,17.41935483870969,0.446043165467626,0.545098039215686,249
Watusi,Ватуси,#FFDDCF,255,221,207,17.50000000000001,0.188235294117647,1,250
Mandarin,Мандарин,#F37A48,243,122,72,17.543859649122812,0.703703703703704,0.952941176470588,251
Burning Sand,Горящий Песок,#D99376,217,147,118,17.575757575757567,0.456221198156682,0.850980392156863,252
Kilamanjaro,Киламанджаро,#240C02,36,12,2,17.64705882352941,0.944444444444444,0.141176470588235,253
Treehouse,Домик на дереве,#3B2820,59,40,32,17.77777777777778,0.457627118644068,0.231372549019608,254
Fantasy,Фантастика,#FAF3F0,250,243,240,17.99999999999995,0.0399999999999999,0.980392156862745,255
Saddle,Седло,#4C3024,76,48,36,18.000000000000004,0.526315789473684,0.298039215686275,256
Nero,Нерон,#140600,20,6,0,18.000000000000004,1,0.0784313725490196,257
Cumin,Тмин,#924321,146,67,33,18.053097345132745,0.773972602739726,0.572549019607843,258
Tia Maria,Тиа Мария,#C1440E,193,68,14,18.10055865921788,0.927461139896373,0.756862745098039,259
Rust,Ржавчина,#B7410E,183,65,14,18.10650887573965,0.923497267759563,0.717647058823529,260
Orange (Crayola),Оранжевый (Crayola),#FF7538,255,117,56,18.391959798994968,0.780392156862745,1,261
Provincial Pink,Провинциальный розовый,#FEF5F1,254,245,241,18.46153846153851,0.0511811023622047,0.996078431372549,262
Tangelo,Танжело,#F94D00,249,77,0,18.55421686746988,1,0.976470588235294,263
International orange (aerospace),Международный оранжевый (авиакосмический),#FF4F00,255,79,0,18.58823529411765,1,1,264
Halloween orange,Хэллоуинский апельсин,#EB6123,235,97,35,18.6,0.851063829787234,0.92156862745098,265
Vivid vermilion,Яркий киноварь,#E56024,229,96,36,18.65284974093264,0.842794759825327,0.898039215686275,266
Kabul,Кабул,#5E483E,94,72,62,18.75,0.340425531914894,0.368627450980392,267
Brave orange,Храбрый апельсин,#FF631C,255,99,28,18.76651982378854,0.890196078431372,1,268
Metallic brown,Коричневый металлик,#AC4313,172,67,19,18.823529411764707,0.88953488372093,0.674509803921569,269
Coconut,Кокос,#965A3E,150,90,62,19.090909090909093,0.586666666666667,0.588235294117647,270
Tuft Bush,Куст хохолка,#FFDDCD,255,221,205,19.200000000000003,0.196078431372549,1,271
Almond Frost,Миндальный иней,#907B71,144,123,113,19.35483870967743,0.215277777777778,0.564705882352941,272
Deep carrot orange,Насыщенный морковно-оранжевый,#E9692C,233,105,44,19.365079365079367,0.811158798283262,0.913725490196078,273
Vivid red-tangelo,Яркий красный-танжело,#DF6124,223,97,36,19.572192513368982,0.838565022421525,0.874509803921569,274
Brown Derby,Коричневый Дерби,#492615,73,38,21,19.615384615384617,0.712328767123288,0.286274509803921,275
Rock Spray,Каменный спрей,#BA450C,186,69,12,19.65517241379311,0.935483870967742,0.729411764705882,276
Grenadier,Гренадер,#D54600,213,70,0,19.718309859154928,1,0.835294117647059,277
Trinidad,Тринидад,#E64E03,230,78,3,19.823788546255507,0.98695652173913,0.901960784313726,278
Soapstone,Мыльный камень,#FFFBF9,255,251,249,19.999999999999908,0.0235294117647059,1,279
